(total cost: 2247.07)
id		father		cost
6735		6138		0.00
5384		6735		0.05
9418		185		0.08
5401		6735		0.10
2836		9418		0.17
1912		2156		0.19
8347		6995		0.19
8322		8347		0.14
6629		8322		0.12
5363		6629		0.15
9170		599		0.19
3055		5560		0.19
8650		599		0.19
5113		8901		0.19
3779		5113		0.06
8002		3779		0.03
371		3779		0.10
2262		6982		0.19
2544		8548		0.19
8715		371		0.19
1328		2633		0.19
9790		6138		0.19
6973		9790		0.09
7403		6527		0.19
1913		7403		0.13
3098		1913		0.14
4425		3098		0.03
1595		7403		0.17
7392		3098		0.18
4386		7392		0.10
8970		4386		0.08
9046		8970		0.10
4993		4386		0.16
5942		4993		0.08
9937		7392		0.16
8037		9937		0.07
1659		8037		0.02
9381		1659		0.01
4839		8037		0.10
3169		9937		0.10
2317		4839		0.15
7149		2317		0.07
5714		9381		0.17
5383		5714		0.15
419		4839		0.18
2377		419		0.15
174		803		0.19
8484		174		0.13
6905		174		0.13
1705		6905		0.03
8395		7403		0.19
3298		9046		0.20
6894		9743		0.20
622		6894		0.07
3003		6894		0.15
3439		622		0.19
4549		3439		0.11
551		5348		0.20
5847		7866		0.20
182		5847		0.05
7811		182		0.09
9382		7811		0.06
4566		182		0.17
2065		4566		0.13
422		2065		0.10
2404		2065		0.11
5001		2404		0.00
6015		5001		0.03
7944		6015		0.01
1997		7944		0.01
2025		2404		0.06
7228		2025		0.01
6684		2025		0.05
8797		7228		0.05
8569		2025		0.06
8556		2025		0.07
694		8556		0.05
7805		694		0.05
7156		694		0.06
9939		694		0.07
5454		7156		0.08
8958		5454		0.04
8120		6015		0.08
9400		8569		0.11
7658		5454		0.12
1943		8797		0.13
3294		8958		0.13
6874		8797		0.14
3164		6874		0.10
2812		3164		0.07
4363		2812		0.10
3742		6874		0.15
625		1997		0.16
2058		625		0.04
1011		2812		0.20
9860		1011		0.17
4286		9860		0.01
2935		9860		0.18
241		2935		0.06
6598		241		0.00
3624		6598		0.15
2590		3624		0.06
1673		3624		0.12
6167		241		0.16
945		241		0.18
8795		827		0.20
6548		8795		0.04
7464		6548		0.00
9075		2005		0.20
4057		9075		0.04
6479		9075		0.16
1811		4057		0.16
4581		1811		0.15
8350		4581		0.04
3841		8350		0.01
7692		8350		0.01
9298		8350		0.03
7994		7692		0.10
7571		4581		0.11
795		7571		0.01
509		7571		0.07
8880		7994		0.15
8072		8880		0.11
8280		8072		0.15
1014		8880		0.16
7314		795		0.18
9180		7314		0.03
8168		9180		0.15
4060		8168		0.01
500		4060		0.13
9199		500		0.09
9458		9199		0.08
9631		9458		0.03
8401		9458		0.04
5795		8401		0.05
7288		500		0.11
7200		5795		0.14
740		8168		0.15
8636		740		0.04
8264		7288		0.15
8499		8264		0.04
6636		8499		0.02
8102		8499		0.14
275		8102		0.12
1383		6636		0.14
8090		1383		0.02
8392		1383		0.12
7318		8392		0.02
5036		7318		0.08
8221		7318		0.10
3969		8221		0.00
3653		5036		0.14
7833		8090		0.15
8085		7833		0.01
1657		7833		0.06
1488		1657		0.00
7376		1657		0.13
7813		8264		0.15
8057		8102		0.17
4198		8057		0.12
7735		8057		0.14
9733		8072		0.18
5376		7376		0.18
8405		5376		0.04
9244		8405		0.03
2769		9244		0.00
2657		9244		0.08
485		8405		0.13
1613		485		0.02
1401		1613		0.03
8771		1401		0.02
5496		8771		0.03
9348		485		0.15
7134		9348		0.01
6357		7134		0.05
3945		9348		0.08
9415		3945		0.04
5830		9415		0.07
5784		5830		0.01
7257		3945		0.11
2616		7257		0.02
1789		2616		0.06
9620		7134		0.12
4167		7134		0.13
3642		4167		0.10
5452		7257		0.13
6748		9620		0.14
637		2616		0.15
423		6748		0.15
8525		423		0.06
3355		423		0.09
5750		8525		0.10
2379		5750		0.02
5059		3355		0.12
2485		5059		0.00
183		5059		0.13
4516		5496		0.16
1786		4516		0.02
3028		1786		0.03
744		3028		0.01
9331		4516		0.05
1071		3028		0.05
5589		1071		0.06
203		744		0.08
3456		9331		0.09
9421		3456		0.00
1796		9421		0.07
4567		1796		0.04
7820		9331		0.10
889		1786		0.10
5996		889		0.06
3436		5996		0.01
9297		3028		0.15
7037		9297		0.15
4950		7037		0.05
7273		4950		0.13
975		4950		0.15
4215		975		0.01
8963		4215		0.02
2178		9331		0.16
4104		1613		0.16
5619		8405		0.16
4819		5619		0.02
3688		4819		0.10
8823		3688		0.06
6004		3688		0.07
8233		6004		0.07
6969		8823		0.08
6494		6969		0.01
2532		6494		0.04
2461		6004		0.13
3056		7820		0.16
195		9348		0.16
7968		2532		0.16
7382		7968		0.04
651		7968		0.04
3706		651		0.06
258		651		0.09
219		258		0.05
4871		258		0.12
3976		7273		0.16
7408		3706		0.16
939		2178		0.17
1046		3642		0.17
4114		1046		0.07
134		4114		0.10
9815		134		0.04
1320		939		0.17
5957		1320		0.01
4263		1320		0.06
3652		1320		0.07
7482		5957		0.10
5449		7482		0.15
4479		5449		0.10
4938		5449		0.12
3849		4938		0.03
3987		3849		0.07
7985		4479		0.13
3184		4938		0.15
4903		3184		0.08
6615		4903		0.03
2275		4903		0.05
2554		4903		0.09
409		4903		0.11
590		409		0.07
9315		590		0.01
79		590		0.04
6344		590		0.06
3999		6615		0.14
9392		6344		0.14
9826		2554		0.15
9506		2275		0.16
5008		9506		0.05
7428		6615		0.16
921		1320		0.16
5509		5957		0.17
8134		5509		0.11
946		8134		0.01
10		8057		0.18
7688		10		0.06
1453		10		0.13
8022		1453		0.01
5404		1453		0.09
2388		500		0.18
982		2388		0.01
3397		2461		0.18
6557		3397		0.11
4050		6557		0.08
3117		982		0.18
8223		3117		0.09
2206		3117		0.17
9074		2206		0.05
7110		2206		0.13
8470		7110		0.05
5247		8470		0.08
5935		9074		0.18
9541		5935		0.13
3329		1046		0.18
6637		3329		0.02
2846		3688		0.18
4866		744		0.18
5133		4866		0.00
3232		4866		0.04
8161		3232		0.01
9635		8161		0.13
5893		4567		0.18
7841		5893		0.05
8243		7841		0.03
7009		7841		0.05
6237		7009		0.06
6855		6237		0.09
2311		6855		0.11
3985		5059		0.18
482		3985		0.09
2453		482		0.12
2808		3985		0.14
4439		8243		0.19
9278		5133		0.19
279		4871		0.19
4456		9315		0.19
1728		3969		0.19
8982		4581		0.19
8701		8982		0.13
1346		8701		0.05
1120		8701		0.09
9584		1120		0.01
2885		9584		0.05
5355		9584		0.10
4591		2885		0.10
4744		4591		0.08
920		2885		0.17
6678		920		0.00
4580		6678		0.12
2387		920		0.16
1694		4744		0.17
7448		1694		0.05
9465		7448		0.11
6350		9465		0.01
8491		6350		0.04
2475		9465		0.06
1528		8491		0.09
9805		1528		0.01
3936		9465		0.12
8406		3936		0.05
4098		8406		0.04
6707		4098		0.04
725		1528		0.12
5191		725		0.16
6181		6707		0.17
7319		6350		0.17
8806		7319		0.01
9486		7319		0.11
7770		9486		0.01
7881		9486		0.06
8972		7881		0.08
9378		8972		0.01
1974		9378		0.04
2145		1974		0.02
186		2145		0.13
2155		9378		0.16
6917		2155		0.13
451		186		0.16
1173		186		0.17
5931		9465		0.17
5558		5931		0.07
7889		5931		0.09
5762		7889		0.03
8934		7889		0.04
9122		8934		0.07
1768		5558		0.14
9716		1768		0.06
5917		5931		0.14
8398		8701		0.18
8259		8398		0.02
9914		8259		0.16
9657		9914		0.05
8729		4591		0.18
4627		8729		0.12
3833		4627		0.03
4505		3833		0.06
6814		4505		0.09
7263		3833		0.16
8308		3833		0.18
9599		8308		0.06
37		920		0.19
4953		8243		0.19
3342		982		0.19
7871		1346		0.19
1471		9421		0.19
5341		1471		0.02
1617		5341		0.02
4749		1617		0.00
2944		1471		0.03
9483		5341		0.08
7757		1471		0.08
8554		7757		0.06
3413		8554		0.06
5175		3413		0.02
177		4749		0.09
5460		7757		0.11
9645		1617		0.11
171		9645		0.06
1575		9645		0.07
4577		9483		0.12
4163		1617		0.12
6919		5175		0.13
7384		8554		0.13
5255		6919		0.13
711		7757		0.14
481		5255		0.14
3838		7757		0.16
2322		3838		0.01
3686		3838		0.02
8202		3686		0.01
2978		3838		0.02
6585		8202		0.03
1571		3838		0.07
16		2978		0.09
4747		6585		0.09
7567		16		0.09
3591		7567		0.04
7552		3838		0.12
370		3686		0.13
4157		8202		0.14
7672		4577		0.17
6043		7384		0.18
641		2885		0.19
3727		641		0.02
1953		3727		0.02
2107		4163		0.19
4280		2107		0.02
5613		5460		0.19
7803		5613		0.17
2008		7803		0.13
2607		2008		0.06
8232		7803		0.18
8825		6237		0.19
7609		7110		0.19
8506		7609		0.07
849		8506		0.08
9288		8506		0.10
2048		849		0.10
2787		2048		0.08
1418		2787		0.00
7656		2048		0.08
8215		9288		0.13
5995		8215		0.07
34		5995		0.01
3597		9288		0.14
6009		3597		0.06
5875		3597		0.06
3771		5875		0.04
2622		5875		0.08
5793		5995		0.16
1612		8215		0.17
122		1612		0.12
9146		3597		0.17
3681		9146		0.05
7437		3681		0.10
2165		3681		0.18
5495		2165		0.01
4002		2165		0.07
9570		4002		0.09
1151		9570		0.07
7675		1151		0.06
8414		7675		0.07
6409		9570		0.08
3311		1151		0.08
5005		1151		0.09
9527		6409		0.09
9435		2165		0.13
5377		9435		0.00
5465		5005		0.15
5395		5465		0.15
5944		8414		0.16
4573		9570		0.17
2961		5377		0.17
3565		2961		0.15
6381		3565		0.07
6001		6381		0.02
8937		6381		0.03
7654		8937		0.01
7707		6001		0.04
1396		3565		0.07
9273		7654		0.07
1541		1396		0.11
9718		7654		0.13
3956		9718		0.05
6093		5944		0.17
2186		6093		0.13
4338		6093		0.15
4694		4338		0.04
214		4694		0.03
9680		214		0.04
6778		4338		0.07
5103		9680		0.08
2524		7654		0.18
8679		6009		0.18
7939		8679		0.06
9010		8679		0.07
9139		9010		0.03
9913		9010		0.17
342		9913		0.08
938		9680		0.18
5172		5465		0.18
5610		5172		0.15
9471		2961		0.18
6012		9471		0.07
5339		9471		0.18
1427		3056		0.19
5157		1418		0.19
7022		5157		0.04
9787		5157		0.09
2666		7022		0.12
1633		5157		0.13
6818		5157		0.17
3263		6818		0.05
4891		3263		0.07
8169		4891		0.05
9732		9787		0.19
8807		5103		0.19
9544		8807		0.11
1258		203		0.19
1669		8470		0.19
4034		2846		0.19
8113		7675		0.20
7131		8102		0.20
6403		8280		0.20
8245		5201		0.20
3615		1768		0.20
6465		3615		0.01
1549		6465		0.02
9039		3615		0.07
7400		370		0.20
9430		7400		0.07
3297		9430		0.06
7934		3297		0.14
8483		7400		0.16
5193		8483		0.15
9879		8483		0.17
6608		3297		0.17
6153		7934		0.18
6300		6153		0.01
3684		6153		0.02
4244		3684		0.01
9149		4244		0.01
1889		6300		0.03
2244		3684		0.08
5800		6300		0.19
1934		5800		0.16
3640		5800		0.17
2040		6153		0.19
1080		3640		0.19
6305		1080		0.10
2951		4938		0.20
3148		3686		0.20
8087		3148		0.17
8821		8087		0.05
8609		8087		0.06
1831		8264		0.20
9819		920		0.20
43		9819		0.01
8149		9819		0.02
9960		8149		0.10
8633		43		0.15
562		3235		0.20
7687		562		0.04
5945		7687		0.10
503		5945		0.07
6609		503		0.01
554		503		0.04
9614		2408		0.20
7118		3297		0.20
4162		7110		0.20
9528		3640		0.20
6419		3686		0.20
7649		2763		0.20
4441		7649		0.10
1197		4441		0.10
8854		1197		0.08
1389		6210		0.20
2194		1389		0.00
7063		1389		0.16
4420		2048		0.20
4046		4420		0.01
3983		4420		0.10
5099		3983		0.03
3959		3983		0.06
7015		3983		0.15
5562		3983		0.16
7625		5562		0.09
8148		7625		0.09
23		8148		0.05
7047		8148		0.17
8718		7047		0.18
3293		8718		0.19
1763		23		0.20
1013		1763		0.08
9706		6352		0.20
8798		9706		0.17
7492		1615		0.20
2441		3684		0.20
1579		2441		0.00
206		1579		0.04
1060		206		0.05
6832		1060		0.05
8803		206		0.15
4109		8803		0.12
922		4109		0.03
2793		4109		0.03
2012		1060		0.15
4812		2012		0.04
8735		206		0.16
3173		8735		0.04
6632		3173		0.10
5574		6632		0.11
7626		5574		0.07
1044		1716		0.20
9908		1044		0.12
7804		9908		0.00
3539		9908		0.13
3104		8090		0.20
2154		3104		0.02
3958		3104		0.20
9814		3958		0.09
512		9814		0.03
4493		3958		0.13
3296		4493		0.11
6086		3296		0.04
5029		6086		0.09
3195		5029		0.09
1125		3296		0.15
9113		1125		0.15
8549		4493		0.18
7353		9113		0.19
790		512		0.20
6471		790		0.19
7302		6471		0.03
3618		6471		0.07
9262		6471		0.10
6683		9262		0.05
3557		4812		0.20
5176		7353		0.20
3284		5176		0.09
1299		973		0.20
4258		1299		0.04
2552		4258		0.00
4653		2154		0.20
9775		4653		0.02
6788		9775		0.03
5330		4653		0.04
3368		5330		0.08
9539		3368		0.05
7312		9539		0.00
670		9539		0.07
9816		670		0.17
8622		9816		0.02
9361		9816		0.03
4234		8622		0.08
8510		4234		0.07
4298		8510		0.05
606		4234		0.11
1739		606		0.18
6061		9539		0.19
9424		6061		0.01
9363		6061		0.08
3550		9363		0.18
9562		3550		0.04
4383		9562		0.10
1627		4383		0.03
7297		4383		0.04
8579		7297		0.05
9088		8579		0.03
4735		9088		0.05
5486		4735		0.07
7950		7297		0.17
8386		7950		0.17
1626		670		0.19
