Max flow: 284
Edges
From		To		Capacity/Flow
58		395		9.00/0.00
59		739		10.00/0.00
59		183		1.00/0.00
59		199		2.00/0.00
59		307		1.00/0.00
59		414		7.00/0.00
60		243		5.00/0.00
60		407		5.00/0.00
60		394		5.00/1.00
60		306		9.00/0.00
60		673		10.00/0.00
61		753		10.00/0.00
61		726		8.00/0.00
61		735		3.00/0.00
61		399		1.00/0.00
61		428		10.00/0.00
62		960		5.00/0.00
62		819		8.00/0.00
62		161		7.00/0.00
62		593		1.00/0.00
62		148		5.00/0.00
63		301		5.00/0.00
63		991		10.00/0.00
63		477		6.00/0.00
63		310		3.00/0.00
63		673		3.00/0.00
64		461		10.00/0.00
64		231		4.00/0.00
64		770		10.00/0.00
64		301		3.00/0.00
64		35		4.00/0.00
65		723		1.00/0.00
65		15		9.00/0.00
65		77		4.00/0.00
65		791		8.00/0.00
65		474		5.00/0.00
65		509		10.00/0.00
65		543		5.00/0.00
65		341		7.00/0.00
65		464		9.00/0.00
66		198		10.00/0.00
66		620		3.00/0.00
66		760		10.00/0.00
66		373		10.00/0.00
66		443		1.00/0.00
66		253		7.00/0.00
66		33		8.00/4.00
66		333		4.00/0.00
67		444		5.00/0.00
67		823		2.00/0.00
67		787		9.00/0.00
68		699		1.00/0.00
68		572		4.00/0.00
68		328		8.00/0.00
68		261		7.00/0.00
68		198		6.00/0.00
68		42		8.00/0.00
69		268		7.00/0.00
69		563		6.00/0.00
69		778		6.00/0.00
69		398		9.00/0.00
69		606		5.00/0.00
69		332		6.00/0.00
69		142		6.00/0.00
70		721		7.00/0.00
70		918		8.00/0.00
70		158		8.00/0.00
70		709		1.00/0.00
70		972		10.00/0.00
70		640		7.00/1.00
71		318		1.00/0.00
71		127		7.00/0.00
71		683		7.00/0.00
71		665		8.00/0.00
71		348		4.00/0.00
71		116		4.00/0.00
72		784		4.00/0.00
72		781		6.00/0.00
72		730		2.00/0.00
72		733		6.00/0.00
72		56		9.00/2.00
72		335		6.00/0.00
72		340		10.00/0.00
72		34		8.00/0.00
72		938		2.00/0.00
72		920		10.00/0.00
73		251		4.00/0.00
73		622		7.00/0.00
73		635		7.00/0.00
73		250		5.00/0.00
73		832		4.00/0.00
73		399		7.00/0.00
73		893		5.00/0.00
73		595		8.00/0.00
74		893		10.00/0.00
74		906		8.00/0.00
74		853		6.00/0.00
74		640		5.00/4.00
74		341		10.00/0.00
74		30		5.00/0.00
74		291		2.00/0.00
74		543		7.00/0.00
75		293		8.00/0.00
75		35		8.00/0.00
75		669		10.00/0.00
75		513		10.00/0.00
76		986		2.00/0.00
76		152		7.00/0.00
76		773		9.00/0.00
76		13		3.00/0.00
76		251		4.00/0.00
76		106		4.00/0.00
76		718		8.00/0.00
77		243		2.00/0.00
77		572		10.00/0.00
77		118		3.00/0.00
77		967		6.00/0.00
77		752		1.00/0.00
78		760		2.00/0.00
78		141		1.00/0.00
78		265		5.00/0.00
78		394		3.00/2.00
78		37		5.00/0.00
78		578		9.00/0.00
78		541		9.00/0.00
78		193		1.00/0.00
79		58		3.00/0.00
79		567		8.00/0.00
79		555		7.00/0.00
79		548		2.00/0.00
79		894		9.00/1.00
79		966		6.00/0.00
79		28		2.00/0.00
80		389		2.00/0.00
80		60		6.00/0.00
80		264		7.00/0.00
80		992		3.00/0.00
80		295		9.00/0.00
80		543		6.00/0.00
80		340		2.00/0.00
80		980		6.00/0.00
80		7		3.00/0.00
80		994		8.00/0.00
80		970		3.00/0.00
81		14		8.00/0.00
81		111		4.00/0.00
81		181		1.00/0.00
81		457		3.00/0.00
81		380		7.00/0.00
